Water Year,Rain (mm) Oct-Sep,Outflow (m3/s) Oct-Sep,Rain (mm) Dec-Feb,Outflow (m3/s) Dec-Feb,Rain (mm) Jun-Aug,Outflow (m3/s) Jun-Aug
1961/62,802,1453,221,2454,173,826
1962/63,720,1317,124,1099,223,955
1963/64,679,1337,82,1185,166,830
1964/65,826,1311,190,1895,226,876
1965/66,922,2019,307,3585,248,1106
1966/67,896,1849,234,2718,165,1058
1967/68,956,1899,179,2235,238,1069
1968/69,817,1767,221,2538,184,876
1969/70,786,1472,252,2539,179,648
1970/71,791,1471,175,2084,234,1077
1971/72,735,1374,196,2041,153,849
1972/73,721,1071,173,1732,200,813
1973/74,793,1272,263,2469,216,561
1974/75,808,1648,204,2681,127,559
1975/76,561,765,135,1249,73,308
1976/77,903,1844,296,3386,195,772
1977/78,819,1581,261,2665,198,708
1978/79,826,1810,286,2524,153,942
1979/80,894,1712,293,3111,261,1025
1980/81,910,1840,171,2111,137,836
1981/82,809,1665,192,2581,227,825
1982/83,882,1805,215,2649,94,731
1983/84,758,1372,282,2974,122,485
1984/85,860,1624,162,1891,255,1245
1985/86,801,1621,240,2783,198,834
1986/87,874,1730,202,2491,239,1077
1987/88,936,1881,248,2990,231,1015
1988/89,635,1202,155,1626,140,479
1989/90,763,1382,363,3348,139,457
1990/91,753,1279,228,2342,178,577
1991/92,778,1138,129,1360,227,571
1992/93,867,1666,182,2694,183,856
1993/94,916,1884,323,3689,140,546
1994/95,825,1793,360,4025,65,420
1995/96,627,961,209,1757,141,436
1996/97,753,1051,166,1625,252,684
1997/98,915,1572,219,2419,214,1039
1998/99,959,1855,241,2808,204,805
1999/00,915,1802,265,2905,161,883
2000/01,1088,2498,280,3785,188,789
2001/02,837,1632,242,2765,205,1017
2002/03,825,1632,238,3011,151,531
2003/04,891,1385,253,2442,271,1058
2004/05,741,1278,164,1892,175,536
2005/06,777,1211,144,1366,154,515
2006/07,1045,2102,299,3476,325,2039
2007/08,948,1862,253,3088,266,1294
2008/09,778,1547,193,2421,243,953
2009/10,860,1580,235,2625,195,604
2010/11,698,1271,192,2180,208,707
2011/12,966,1654,198,1894,351,1990
2012/13,868,2028,270,3739,150,704
